Proteins,MNC...Maximum.Neighborhood.Component,Degree.Centrality,Eccentricity.Centrality,Closeness.centrality..Latora.,Radiality.Centrality,Shortest.Paths.Betweenness.Centrality,clustering.coefficient,Average.Distance,K.core.Decomposition,modularity,DMNC...Density.of.Maximum.Neighborhood.Component,Stress.Centrality,MCC,classes
PPP3CA,45,45,3,346.3333333,2.847142857,366.8928666,0.3,2.153846154,32,1,0.48908485,173,68,1
PRKAA1,27,28,4,319.5833333,2.665714286,111.7007082,0.462962963,2.334757835,22,1,0.419237129,479,24,1
PRKAA2,27,27,4,315.4166667,2.632857143,51.89006039,0.507122507,2.367521368,22,1,0.398885812,168,22,1
PRKAB1,20,20,4,309.4166667,2.601428571,26.6177634,0.568421053,2.398860399,19,1,0.450147363,2499,12,1
PRKAB2,19,21,4,312.5833333,2.625714286,43.93134127,0.514285714,2.374643875,19,1,0.461128576,1836,12,1
PRKACA,106,106,3,386.6666667,3.018571429,2652.97088,0.187241689,1.982905983,32,1,0.560681074,7413,320,1
PRKACB,93,93,3,382.8333333,3.022857143,2123.305697,0.201496026,1.978632479,32,1,0.549519469,18790,226,1
PRKACG,87,87,3,374.8333333,2.971428571,1580.053643,0.215985031,2.02991453,32,1,0.56292776,23641,189,0
PRKAG2,55,55,3,359.3333333,2.93,616.651861,0.32996633,2.071225071,32,2,0.494956696,805,58,1
PRKAR1A,33,37,3,333.5,2.76,435.7429352,0.306306306,2.240740741,24,1,0.45415732,451,38,1
PRKAR1B,23,23,4,314.0833333,2.632857143,79.38378077,0.43083004,2.367521368,21,1,0.393682612,40,20,0
PRKAR2A,31,31,4,326.5833333,2.717142857,166.5709737,0.344086022,2.283475783,23,1,0.407189449,21702,29,1
PRKAR2B,29,29,3,326.5,2.722857143,137.1096386,0.42364532,2.277777778,23,1,0.415425531,11202,48,1
PRPF19,64,64,4,337.25,2.714285714,367.8461657,0.587797619,2.286324786,43,4,0.529714832,2,43,0
PRPF40A,48,48,4,321.6666667,2.625714286,64.19040452,0.860815603,2.374643875,43,4,0.507627023,199,13,0
PRPF40B,23,23,4,282.75,2.358571429,3.725321497,0.881422925,2.641025641,23,4,0.393682612,602,5,0
PSEN1,44,45,3,349.8333333,2.877142857,537.3926121,0.291919192,2.123931624,29,3,0.496984807,1119,79,0
PSEN2,15,16,4,303.4166667,2.561428571,98.36336597,0.416666667,2.438746439,13,3,0.445360252,12478,11,0
PTBP1,58,58,3,347.6666667,2.821428571,568.5984106,0.647912886,2.179487179,43,4,0.499491299,9513,27,0
PTCD3,78,79,4,306.6666667,2.398571429,94.96394381,0.974683544,2.601139601,78,5,0.55303013,0,2,0
PTEN,140,140,3,403.8333333,3.068571429,1181.694011,0.358684481,1.933048433,43,3,0.568618423,36188,4190,0
PTPN11,74,74,3,369.8333333,2.965714286,433.4820155,0.433172899,2.035612536,35,3,0.52676366,30053,589,1
PTPN3,9,9,3,305.6666667,2.601428571,9.363343785,0.444444444,2.398860399,9,3,0.305911818,1994,7,0
RAE1,51,52,4,319.8333333,2.598571429,197.593873,0.730015083,2.401709402,43,4,0.51785196,3073,37,0
RANBP2,72,72,4,348.5833333,2.788571429,754.8920864,0.476917058,2.212250712,43,4,0.517407214,3548,90,0
RANGRF,26,28,3,314.1666667,2.62,106.5396743,0.714285714,2.38034188,27,1,0.416165181,477,22,0
RASD1,9,10,4,301.25,2.56,75.99813433,0.377777778,2.44017094,10,1,0.407882424,3885,6,0
RB1,80,80,3,372.6666667,2.972857143,631.7278469,0.563291139,2.028490028,43,3,0.562646438,4374,1165,1
RBBP8,21,22,4,312,2.617142857,21.09672086,0.670995671,2.383190883,22,3,0.433502711,1323,21,0
RBL1,56,56,4,329.0833333,2.667142857,26.60823286,0.75974026,2.333333333,43,3,0.506766725,11679,710,0
RBL2,53,53,4,333.9166667,2.717142857,31.85891877,0.764150943,2.283475783,43,3,0.509385528,5278,370,0
RBM20,29,29,3,334,2.787142857,158.963303,0.633004926,2.213675214,27,2,0.415425531,2215,24,0
RBM25,39,39,3,337.1666667,2.785714286,391.2814498,0.690958165,2.215099715,34,4,0.455923997,3216,18,0
RBMX,52,52,3,326.8333333,2.66,223.7285744,0.786576169,2.34045584,43,4,0.523125199,2866,19,0
RBPJ,45,45,4,334.1666667,2.741428571,282.1507251,0.38989899,2.259259259,27,3,0.48908485,1654,112,0
RICTOR,33,33,3,329.3333333,2.735714286,40.29584182,0.689393939,2.264957265,28,3,0.410488347,2,32,0
RIMBP2,18,19,3,289,2.43,56.65822087,0.339181287,2.56980057,15,1,0.480669059,2031,16,0
RIMS1,20,21,3,302.1666667,2.537142857,332.344958,0.366666667,2.462962963,17,1,0.450147363,178,23,0
RIMS2,14,15,4,274,2.301428571,32.09555947,0.295238095,2.698005698,13,1,0.402235243,4139,14,0
RNF207,8,8,3,281.1666667,2.394285714,2.701306108,0.785714286,2.605413105,8,1,0.248273124,4106,3,0
ROCK2,27,28,3,334.1666667,2.791428571,120.6123782,0.346560847,2.209401709,27,3,0.394815549,0,30,1
RPL13A,58,59,4,344.25,2.788571429,1049.079066,0.578609001,2.212250712,43,5,0.489274431,2772,25,1
RPS27A,119,119,3,392,3.027142857,3123.281027,0.278450363,1.974358974,43,3,0.559267875,9250,874,0
RUNX2,72,72,3,354.6666667,2.841428571,283.1201394,0.492175274,2.15954416,37,3,0.517407214,20196,459,0
RUNX3,45,46,3,338.5,2.777142857,182.1947278,0.50531401,2.223646724,33,3,0.471741416,246,61,0
RYR1,66,68,3,358.1666667,2.882857143,833.0401196,0.327919227,2.118233618,32,2,0.513244718,3787,174,1
RYR2,111,111,3,381,2.955714286,1595.134946,0.278787879,2.045584046,32,2,0.54794201,477,1139,1
SCN10A,77,77,3,356,2.838571429,644.2700072,0.327067669,2.162393162,32,1,0.550224705,2271,433,1
SCN1A,75,75,3,351.8333333,2.808571429,688.2215732,0.296216216,2.192307692,32,1,0.534301001,853,307,1
SCN1B,80,80,3,355,2.821428571,519.5922737,0.385126582,2.179487179,32,1,0.562646438,4171,912,1
SCN2A,78,78,3,345.5,2.745714286,568.3241831,0.315018315,2.254985755,32,1,0.552337977,38286,441,1
SCN2B,61,61,3,337,2.721428571,342.6022905,0.43989071,2.279202279,32,1,0.50714885,5424,253,1
SCN3A,54,54,3,315,2.552857143,179.449043,0.400419287,2.447293447,30,1,0.498846613,716,147,1
SCN3B,61,61,3,328.8333333,2.651428571,190.6880937,0.457377049,2.349002849,32,1,0.50714885,1590,387,1
SCN4A,69,71,3,349,2.795714286,832.8481095,0.303420523,2.205128205,32,1,0.524940999,1190,254,1
SCN4B,75,75,3,343.6666667,2.738571429,340.2102534,0.390630631,2.262108262,32,1,0.534301001,0,715,1
SCN5A,198,200,2,450,3.292857143,15248.7993,0.14040201,1.709401709,32,1,0.53491832,636,2501,1
SCN7A,36,36,3,312.6666667,2.584285714,82.04772824,0.412698413,2.415954416,29,1,0.415392612,5714,26,1
SCN8A,70,70,3,338.5,2.708571429,403.6665726,0.332091097,2.292022792,32,1,0.538184233,201,346,1
SCN9A,60,62,3,342.6666667,2.767142857,684.4439379,0.312533051,2.233618234,32,1,0.510615936,790,113,1
SCNM1,7,10,3,302.3333333,2.57,92.79267642,0.311111111,2.43019943,10,1,0.426657082,526,6,0
SCNN1A,29,29,3,323.5,2.697142857,215.0317615,0.36453202,2.303418803,23,1,0.415425531,989,18,1
SCNN1B,28,28,3,314.3333333,2.621428571,163.2249025,0.402116402,2.378917379,23,1,0.417515483,669,18,1
SCNN1G,27,28,3,324.1666667,2.705714286,196.2440641,0.367724868,2.294871795,23,1,0.439588446,4700,17,1
SEL1L3,2,2,3,270.8333333,2.322857143,0,1,2.676638177,2,1,0.314253344,5192,1,0
SELE,22,24,3,321.3333333,2.692857143,71.36999798,0.586956522,2.307692308,23,3,0.372449572,1255,20,1
SF3A2,48,49,4,307.3333333,2.498571429,46.38602272,0.868197279,2.501424501,43,4,0.521641266,1298,14,0
SF3B1,61,62,3,338.6666667,2.732857143,521.4489539,0.591750397,2.267806268,43,4,0.529062689,251,47,0
SGCA,23,23,4,295.4166667,2.472857143,31.68015724,0.584980237,2.527065527,17,2,0.393682612,54438,21,0
SGCB,20,21,4,289.75,2.43,34.77702329,0.557142857,2.56980057,17,2,0.429991511,0,12,0
SGCD,34,34,3,314.8333333,2.608571429,73.80634999,0.59714795,2.391737892,26,2,0.404373851,626,36,0
SGK1,48,49,3,353,2.892857143,485.6765792,0.359693878,2.108262108,31,3,0.507627023,115,59,1
SH3KBP1,28,29,3,317.8333333,2.648571429,41.15056532,0.54679803,2.351851852,26,3,0.398363397,1550,32,0
SHC1,54,55,3,346.6666667,2.821428571,228.7942305,0.531313131,2.179487179,34,3,0.482218393,0,375,0
SIRT1,90,90,3,387.1666667,3.068571429,744.0236252,0.447690387,1.933048433,43,3,0.563008991,0,801,1
SKI,21,22,4,319.3333333,2.68,117.1298838,0.593073593,2.320512821,21,3,0.421116919,729,12,0
