Proteins,MNC...Maximum.Neighborhood.Component,Degree.Centrality,Eccentricity.Centrality,Closeness.centrality..Latora.,Radiality.Centrality,Shortest.Paths.Betweenness.Centrality,clustering.coefficient,Average.Distance,K.core.Decomposition,modularity,DMNC...Density.of.Maximum.Neighborhood.Component,Stress.Centrality,MCC,classes
AAAS,44,44,4,302.8333333,2.475714286,8.848207437,0.903805497,2.524216524,43,4,0.496984807,4243,9,0
ABCC8,29,30,3,332.8333333,2.774285714,228.797573,0.381609195,2.226495726,27,1,0.408200739,2397,63,1
ABCC9,43,43,3,330.3333333,2.715714286,280.5301194,0.520487265,2.284900285,32,2,0.492111402,11816,73,1
ACTA2,72,72,3,372.8333333,2.997142857,1348.954023,0.363067293,2.004273504,32,2,0.517407214,10390,265,0
ACTB,120,120,3,405.1666667,3.137142857,2480.278563,0.316526611,1.864672365,43,3,0.560608358,6026,961,0
ACTC1,75,76,3,365,2.918571429,503.1302864,0.445263158,2.082621083,32,2,0.541691056,702,440,0
ACTG2,41,42,3,326.1666667,2.682857143,91.80956281,0.638792102,2.317663818,32,2,0.48827895,24137,108,0
ACTN1,52,52,3,335.3333333,2.732857143,323.4140426,0.378582202,2.267806268,32,2,0.523125199,0,102,0
ACTN2,99,99,3,376.1666667,2.948571429,1293.37065,0.318903319,2.052706553,32,2,0.5582545,21,612,0
ACTN3,50,50,3,323.6666667,2.638571429,88.24729153,0.662040816,2.361823362,32,2,0.533809326,160,228,0
ACTN4,51,52,3,353.3333333,2.887142857,740.4808906,0.33107089,2.113960114,32,2,0.523480786,1151,98,0
ACVR1,29,29,4,308.4166667,2.567142857,20.20828161,0.736453202,2.433048433,24,3,0.415425531,6587,87,1
ACVR1B,28,28,4,316.5833333,2.64,37.65915362,0.658730159,2.36039886,24,3,0.417515483,21,40,1
ACVR1C,21,21,4,292.75,2.455714286,9.086344778,0.8,2.544159544,20,3,0.433502711,0,10,0
ACVR2A,24,25,4,300.0833333,2.507142857,35.32759704,0.736666667,2.492877493,23,3,0.391448216,3303,23,0
ACVR2B,36,36,4,327.9166667,2.714285714,182.3392026,0.457142857,2.286324786,27,3,0.415392612,9562,48,0
ADAM10,44,44,3,339.8333333,2.794285714,268.7144067,0.406976744,2.206552707,31,3,0.496984807,410,93,1
ADAM17,34,34,3,337.8333333,2.805714286,116.0083812,0.524064171,2.195156695,28,3,0.404373851,8689,50,1
ADCY8,27,27,3,312.5,2.608571429,61.40838789,0.41025641,2.391737892,23,1,0.398885812,3300,19,0
AGRN,14,16,4,301.8333333,2.521428571,69.4449126,0.341666667,2.478632479,15,3,0.463179977,71,9,0
AKAP1,17,17,3,306.1666667,2.582857143,28.22646805,0.441176471,2.417378917,17,1,0.475931074,2559,12,0
AKAP5,36,36,3,310.5,2.565714286,104.4135093,0.420634921,2.434472934,26,1,0.415392612,6872,56,0
AKAP9,63,63,3,361.5,2.925714286,600.8133066,0.358934972,2.075498575,32,1,0.523066558,1986,343,0
AKT1,204,205,3,448.8333333,3.268571429,7337.497089,0.211286466,1.733618234,43,3,0.542256648,2008,4781,1
AKT2,68,68,3,358.8333333,2.888571429,186.7499584,0.522827041,2.112535613,38,3,0.523970223,14953,300,1
ALDOA,22,23,3,316.6666667,2.655714286,113.4568983,0.383399209,2.344729345,17,1,0.372449572,2046,16,1
ALDOC,14,15,3,308.3333333,2.607142857,45.70608144,0.438095238,2.393162393,13,1,0.402235243,3738,7,0
ALYREF,72,72,4,340.9166667,2.722857143,192.6297877,0.669014085,2.277777778,43,4,0.517407214,676,66,0
ANK1,38,38,3,337.3333333,2.79,220.1566323,0.517780939,2.210826211,30,1,0.441634123,7091,41,0
ANK2,85,85,3,366.1666667,2.902857143,888.5030245,0.332212885,2.098290598,32,1,0.567233054,1579,774,0
ANK3,48,49,3,337.1666667,2.757142857,203.8752651,0.461734694,2.243589744,31,1,0.5107413,9053,137,0
ANKRD1,36,36,3,321,2.655714286,82.37754969,0.573015873,2.344729345,31,2,0.415392612,463,42,0
ANP32A,8,10,4,293.8333333,2.491428571,25.39195184,0.333333333,2.508547009,10,4,0.341375545,0,8,0
APH1A,12,13,4,278.1666667,2.328571429,39.20106361,0.564102564,2.670940171,12,3,0.473029879,10861,7,1
AR,93,93,3,388.6666667,3.072857143,779.7228873,0.45371669,1.928774929,43,3,0.549519469,2417,1299,1
ARHGAP24,9,9,3,309,2.63,7.020799937,0.444444444,2.37037037,9,2,0.305911818,0,6,0
ASPH,13,14,3,313,2.65,105.4148488,0.351648352,2.35042735,13,1,0.524201426,1714,8,1
ATF3,28,29,3,332.3333333,2.772857143,57.42724909,0.68226601,2.227920228,28,3,0.425176318,182,14,1
ATM,102,102,3,380.6666667,2.978571429,575.3035544,0.473500291,2.022792023,43,3,0.570462924,2646,2174,1
ATP1A1,25,27,3,329.6666667,2.755714286,468.8888142,0.341880342,2.245014245,23,1,0.402679423,1173,28,1
ATP1A2,33,33,3,318.8333333,2.645714286,203.7842746,0.412878788,2.354700855,25,1,0.410488347,3999,55,1
ATP1A3,28,30,3,315,2.621428571,224.4629528,0.367816092,2.378917379,23,1,0.413685066,620,25,1
ATP1A4,20,20,3,302.1666667,2.54,101.1698132,0.510526316,2.46011396,18,1,0.450147363,917,14,1
ATP1B1,28,33,3,341,2.835714286,812.0459141,0.274621212,2.165242165,23,1,0.375380893,9400,26,0
ATP2A1,44,44,3,334.1666667,2.745714286,164.1414261,0.473572939,2.254985755,32,2,0.496984807,1016,89,1
ATP2A2,67,68,3,357.1666667,2.874285714,685.2429553,0.348551361,2.126780627,32,2,0.514790937,4759,245,0
ATP2A3,13,13,4,294.3333333,2.491428571,13.24973051,0.487179487,2.508547009,13,2,0.524201426,3421,8,0
ATP2B4,26,26,3,319.5,2.671428571,56.04594682,0.461538462,2.329059829,23,2,0.38148475,970,44,0
AURKAIP1,79,82,4,329,2.588571429,703.5037426,0.905149051,2.411680912,78,5,0.563071805,7206,4,0
BMP2,63,63,3,348.6666667,2.815714286,260.1397826,0.501280082,2.185185185,35,3,0.523066558,1579,395,0
BMP4,86,86,3,367.3333333,2.91,785.5895333,0.356497948,2.091168091,35,3,0.558613197,9867,482,0
BMPR1A,31,31,3,320,2.661428571,31.26302834,0.627956989,2.339031339,27,3,0.407189449,96,62,0
BMPR1B,26,26,4,305.5833333,2.551428571,17.21312465,0.753846154,2.448717949,24,3,0.38148475,0,42,0
BMPR2,33,33,3,326.8333333,2.714285714,73.54899047,0.613636364,2.286324786,27,3,0.410488347,6225,71,0
BRAF,31,31,3,332.6666667,2.77,58.33817225,0.492473118,2.230769231,28,3,0.407189449,6649,40,1
BRCA1,107,107,3,387.6666667,3.024285714,968.2239616,0.459707283,1.977207977,43,3,0.567063034,1907,3256,0
BRCA2,54,54,4,352.0833333,2.87,162.807686,0.623340321,2.131054131,43,3,0.498846613,115,330,0
BSG,22,23,3,321.8333333,2.7,118.6634883,0.501976285,2.300569801,19,3,0.401099539,85,12,0
BZRAP1,17,19,3,291.1666667,2.448571429,72.51766402,0.286549708,2.551282051,15,1,0.511185228,5068,16,0
CACNA1A,66,66,3,342.8333333,2.757142857,480.3326995,0.323076923,2.243589744,32,1,0.505010846,380,311,1
CACNA1C,134,134,3,393,2.992857143,2357.055615,0.243294804,2.008547009,32,1,0.566912637,306,2042,1
CACNA1D,68,68,3,346,2.778571429,485.9615213,0.321773486,2.222222222,32,1,0.523970223,0,260,1
CACNA1E,45,45,3,333,2.732857143,221.7418071,0.382828283,2.267806268,29,1,0.48908485,3210,70,1
CACNA1F,43,43,3,322,2.644285714,127.1686363,0.468438538,2.356125356,29,1,0.492111402,0,61,1
CACNA1S,62,62,3,338,2.727142857,483.8012227,0.319407721,2.273504274,32,1,0.516920387,450,150,1
CACNA2D1,64,65,3,339,2.727142857,258.8027499,0.426442308,2.273504274,32,1,0.521046771,232,420,1
CACNA2D2,36,36,3,323.3333333,2.675714286,129.0419851,0.492063492,2.324786325,29,1,0.415392612,760,52,1
CACNA2D3,23,24,4,300.25,2.494285714,80.63646729,0.648550725,2.505698006,24,1,0.377722506,4436,10,1
CACNA2D4,23,25,4,307.1666667,2.567142857,145.9300954,0.746666667,2.433048433,25,1,0.345802294,4307,15,0
CACNB1,37,37,3,319.1666667,2.637142857,100.3279615,0.504504505,2.363247863,29,1,0.428078211,2256,62,1
CACNB2,80,80,3,361.6666667,2.878571429,821.8890674,0.344936709,2.122507123,32,1,0.562646438,891,718,1
CACNB3,35,35,3,317.6666667,2.63,48.81383015,0.574789916,2.37037037,29,1,0.403736298,0,49,1
CACNB4,41,41,3,323.1666667,2.66,206.2250458,0.475609756,2.34045584,29,1,0.474096574,1043,87,1
CACNG1,30,31,4,307.75,2.555714286,88.19664025,0.580645161,2.444444444,28,1,0.419867845,536,25,1
CACNG2,39,39,4,308.4166667,2.538571429,126.2470076,0.543859649,2.461538462,28,1,0.455923997,4645,38,1
CACNG3,42,42,3,314.6666667,2.584285714,105.1565294,0.509872242,2.415954416,29,1,0.488480697,136,63,0
CALM1,116,116,3,396.8333333,3.077142857,2727.738186,0.218290855,1.924501425,32,1,0.542962468,1044,650,0
CALM2,64,65,3,356.6666667,2.878571429,595.9424356,0.25,2.122507123,32,1,0.508526238,870,149,0
CALM3,94,94,3,376.3333333,2.964285714,1259.78116,0.239075726,2.037037037,32,1,0.546380568,3307,380,0
CAMK1,15,15,4,303.0833333,2.561428571,29.44073965,0.40952381,2.438746439,15,1,0.445360252,493,11,0
CAMK2A,70,70,3,363.5,2.922857143,771.1837421,0.289855072,2.078347578,32,1,0.538184233,2405,241,1
CAMK2B,62,62,3,357.8333333,2.897142857,518.1354688,0.3188789,2.103988604,32,1,0.516920387,524,168,1
CAMK2D,58,58,3,362.8333333,2.951428571,667.6882684,0.31276467,2.04985755,32,1,0.499491299,301,128,0
CAMK2G,34,34,3,333.3333333,2.767142857,111.8493581,0.459893048,2.233618234,28,1,0.404373851,341,63,1
CAMKK1,14,16,4,302,2.548571429,35.5169042,0.358333333,2.451566952,15,1,0.487557871,1959,7,0
CAMKK2,20,21,3,309.5,2.6,37.10104851,0.438095238,2.4002849,19,1,0.409835658,728,19,0
CASP3,116,116,3,392.6666667,3.041428571,1372.811066,0.354122939,1.96011396,43,3,0.542962468,3777,2183,1
CASQ2,76,76,3,353.1666667,2.817142857,610.2862608,0.386666667,2.183760684,32,2,0.542128906,12682,562,0
CAV1,99,99,3,384.1666667,3.017142857,1622.330373,0.298701299,1.984330484,37,3,0.5582545,9032,412,0
CAV2,26,26,3,329.5,2.757142857,81.34658236,0.433846154,2.243589744,24,1,0.38148475,2552,23,0
CAV3,98,98,3,378.1666667,2.968571429,1959.900934,0.265937303,2.032763533,32,2,0.551725821,614,647,0
CBL,66,66,3,364.5,2.942857143,452.1007988,0.418648019,2.058404558,33,3,0.505010846,7703,402,0
CBY3,1,1,3,267.1666667,2.294285714,0,NA,2.705128205,1,6,0,132,1,0
CCNA1,68,68,4,346.25,2.78,81.81174821,0.666374012,2.220797721,43,3,0.523970223,9195,1043,0
CCNA2,102,102,3,381.3333333,2.984285714,496.699572,0.517957678,2.017094017,43,3,0.570462924,418,3528,1
CCNB1,132,132,3,399,3.05,1873.476472,0.374161462,1.951566952,43,3,0.566092304,10487,3806,0
CCNB2,87,87,4,352.1666667,2.775714286,527.5603439,0.443197006,2.225071225,43,3,0.56292776,2153,633,0
CCND1,141,141,3,405.8333333,3.082857143,1218.961058,0.381560284,1.918803419,43,3,0.571942857,3043,5263,1
CCND2,71,71,4,351.9166667,2.82,103.64535,0.640241449,2.180911681,43,3,0.52801487,8435,1054,0
CCND3,58,58,4,339.9166667,2.754285714,65.72048222,0.683000605,2.246438746,43,3,0.499491299,6399,340,0
CCNE1,87,87,4,365.9166667,2.894285714,249.7332987,0.584335739,2.106837607,43,3,0.56292776,2,2366,0
CCNE2,71,71,4,347.25,2.78,90.14996721,0.690945674,2.220797721,43,3,0.52801487,1256,1759,0
CCNH,40,40,4,319.5,2.63,40.68890898,0.691025641,2.37037037,40,3,0.458162509,239,80,0
CD44,78,78,3,367.6666667,2.935714286,537.8979423,0.457542458,2.065527066,37,3,0.552337977,11427,533,1
CDC20,93,93,4,369.0833333,2.904285714,777.0968412,0.424731183,2.096866097,43,3,0.549519469,1481,1049,0
CDC25A,80,80,3,357.8333333,2.845714286,150.3579588,0.641772152,2.155270655,43,3,0.562646438,1470,1983,0
CDC25B,46,46,3,325.5,2.665714286,26.25885493,0.77294686,2.334757835,42,3,0.483161437,216,194,0
CDC25C,77,77,3,358.1666667,2.857142857,569.0446494,0.50786056,2.143874644,43,3,0.550224705,3245,741,1
CDC34,42,42,3,324.6666667,2.67,52.4199615,0.583042973,2.33048433,33,3,0.488480697,534,69,0
CDC45,45,46,4,320.75,2.624285714,122.1755818,0.714009662,2.376068376,39,3,0.482147476,696,65,0
CDC5L,84,85,3,365.1666667,2.894285714,1394.862602,0.379831933,2.106837607,43,4,0.56020769,8678,97,0
CDC6,73,73,4,349.4166667,2.792857143,153.6247167,0.625570776,2.207977208,43,3,0.524180086,1531,1436,0
CDC7,41,41,4,314,2.58,18.15062058,0.751219512,2.42022792,37,3,0.474096574,454,61,0
CDH1,129,129,3,397.5,3.045714286,1352.115096,0.336361434,1.955840456,43,3,0.566738237,1060,2729,0
CDH2,87,88,3,385.3333333,3.058571429,1446.113639,0.37800418,1.943019943,37,3,0.574463165,455,557,0
CDH3,21,21,4,307.1666667,2.578571429,37.4749097,0.614285714,2.421652422,18,3,0.433502711,5622,11,0
CDH5,46,46,3,338.5,2.777142857,112.3206944,0.485024155,2.223646724,32,3,0.483161437,250,112,1
CDK1,140,140,3,406.5,3.091428571,2887.961851,0.335046249,1.91025641,43,3,0.568618423,1538,3430,1
CDK2,111,111,3,401,3.127142857,1391.022463,0.457493857,1.874643875,43,3,0.54794201,689,3498,1
CDK4,97,97,3,370.1666667,2.902857143,363.8379794,0.539089347,2.098290598,43,3,0.545867283,19413,2676,1
CDK5RAP2,9,9,4,290.5833333,2.471428571,0.651323679,0.888888889,2.528490028,9,1,0.305911818,1807,3,0
CDK6,84,84,4,358.5833333,2.84,180.9003395,0.595238095,2.160968661,43,3,0.577943523,167,1830,1
CDKN1A,105,105,3,386.1666667,3.017142857,420.8473376,0.525641026,1.984330484,43,3,0.568363029,29,4299,0
CDKN1B,97,97,3,374,2.935714286,397.0572172,0.533505155,2.065527066,43,3,0.545867283,24092,3178,0
CDKN1C,46,47,3,342.6666667,2.81,174.3520694,0.718778908,2.190883191,41,3,0.491520631,270,116,0
CDKN2A,108,108,3,387,3.015714286,495.8324149,0.489615784,1.985754986,43,3,0.564753138,315,3631,0
CDKN3,72,72,3,363.5,2.917142857,270.5108476,0.661580595,2.084045584,43,3,0.517407214,18387,1171,0
CDT1,59,59,4,331,2.674285714,39.98444146,0.726475745,2.326210826,43,3,0.499775938,8994,655,0
CEBPB,39,39,3,332.1666667,2.742857143,74.43478074,0.588394062,2.257834758,33,3,0.455923997,248,40,0
CHCHD1,78,78,4,298.5833333,2.325714286,0,1,2.673789174,78,5,0.552337977,0,1,0
CKS1B,54,54,4,323.5,2.624285714,52.75351225,0.720475192,2.376068376,43,3,0.498846613,1124,349,1
CKS2,44,44,4,312,2.554285714,34.16969775,0.773784355,2.445868946,40,3,0.496984807,8801,118,0
CNTNAP1,19,19,3,302.5,2.545714286,32.07887773,0.549707602,2.454415954,18,1,0.461128576,3293,17,0
CPSF1,67,67,4,316.9166667,2.53,64.74077255,0.70963365,2.47008547,43,4,0.513898752,4687,23,0
CREBBP,86,86,3,372.8333333,2.957142857,723.7802892,0.375649795,2.044159544,43,3,0.558613197,90,426,0
CRK,45,45,3,341,2.801428571,136.9504507,0.539393939,2.199430199,32,3,0.48908485,282,208,0
CRKL,40,41,3,330.8333333,2.725714286,178.0601932,0.498780488,2.274928775,32,3,0.481387337,0,103,0
CRYAB,32,32,3,341.5,2.842857143,121.0674101,0.427419355,2.158119658,30,2,0.404551175,3238,27,0
CSRP3,51,51,3,331.3333333,2.701428571,139.8407132,0.530980392,2.299145299,32,2,0.538960057,96,134,0
CTGF,55,55,3,353.5,2.88,153.3071124,0.582491582,2.121082621,35,3,0.494956696,549,339,0
CTNNA1,43,43,3,339.1666667,2.791428571,179.9655561,0.357696567,2.209401709,31,3,0.492111402,86,79,0
CTNNB1,161,161,3,420.8333333,3.154285714,4395.724631,0.262810559,1.847578348,43,3,0.565600549,0,2961,1
CTNNBL1,46,48,4,305.0833333,2.48,165.3963885,0.878546099,2.51994302,43,4,0.483161437,0,9,0
CTNND1,40,40,3,328,2.704285714,138.878373,0.470512821,2.296296296,29,3,0.458162509,5048,91,0
CTTNBP2,6,7,3,297.1666667,2.534285714,138.1035829,0.285714286,2.465811966,6,1,0.150525011,3470,5,0
CUL1,78,78,4,353.0833333,2.81,313.1466664,0.481518482,2.190883191,43,3,0.552337977,1078,533,0
DAG1,23,24,3,305.8333333,2.56,137.4276448,0.387681159,2.44017094,17,2,0.345802294,125,16,0
DAP3,79,80,4,331.25,2.615714286,686.3885737,0.963291139,2.384615385,78,5,0.555618388,2740,3,0
DAPK1,26,26,3,329.1666667,2.754285714,66.07161688,0.436923077,2.246438746,25,3,0.38148475,6533,22,1
DBF4,28,28,4,291.6666667,2.424285714,6.031987817,0.857142857,2.575498575,28,3,0.417515483,770,14,0
DCX,15,15,3,314,2.655714286,28.12315246,0.533333333,2.344729345,15,3,0.445360252,13820,12,0
DDIT4,20,20,3,323.3333333,2.721428571,39.98345763,0.584210526,2.279202279,18,3,0.450147363,5307,13,0
DHX9,63,63,3,344,2.775714286,371.666116,0.599078341,2.225071225,43,4,0.523066558,2245,59,0
DLG1,61,62,3,370.1666667,3.002857143,1482.795538,0.237440508,1.998575499,32,1,0.516540495,5229,140,0
DLG4,72,72,3,364.5,2.925714286,1210.099309,0.27543036,2.075498575,32,1,0.517407214,36038,216,1
DMD,78,78,3,373.1666667,2.982857143,1344.890993,0.350649351,2.018518519,32,2,0.552337977,5194,254,0
DNM2,33,33,4,341.0833333,2.835714286,164.817818,0.439393939,2.165242165,29,3,0.410488347,3770,40,0
DPP6,21,21,3,292.8333333,2.457142857,24.43510459,0.514285714,2.542735043,19,1,0.433502711,209,34,0
DSC1,14,14,4,274.3333333,2.292857143,0.422609545,0.956043956,2.706552707,14,2,0.463179977,7782,2,0
DSC2,29,29,3,327.3333333,2.73,125.6174325,0.5591133,2.270655271,20,2,0.415425531,0,26,0
DSC3,21,21,3,320,2.69,76.77897965,0.647619048,2.310541311,16,2,0.433502711,644,11,0
DSG1,17,18,4,286.8333333,2.39,19.99011314,0.68627451,2.60968661,16,2,0.423049843,8279,9,0
DSG2,39,39,3,337.6666667,2.79,239.6879382,0.417004049,2.210826211,26,2,0.455923997,181,54,0
DSG3,18,18,4,292.4166667,2.438571429,24.7754514,0.673202614,2.561253561,16,2,0.456635606,3069,8,0
DSG4,15,15,4,276.5,2.308571429,5.633709834,0.838095238,2.690883191,14,2,0.445360252,154,3,0
DSP,38,38,3,344.5,2.851428571,285.5582528,0.433854908,2.14957265,26,2,0.441634123,3,64,0
DTX1,22,22,4,302.5,2.535714286,123.5668676,0.41991342,2.464387464,17,3,0.424019513,644,20,0
DTX4,13,13,4,285.25,2.412857143,37.09829248,0.525641026,2.586894587,12,3,0.524201426,9,5,0
DYSF,21,21,4,295.3333333,2.447142857,66.57934344,0.452380952,2.552706553,17,2,0.433502711,2665,14,0
E2F1,72,72,4,347.5833333,2.78,106.060167,0.661189358,2.220797721,43,3,0.517407214,1970,1584,0
E2F2,51,51,4,330.9166667,2.697142857,20.56279954,0.834509804,2.303418803,43,3,0.538960057,2147,457,0
E2F3,64,64,3,346.5,2.794285714,107.1354523,0.654761905,2.206552707,43,3,0.529714832,21,567,0
E2F4,62,62,4,339.4166667,2.738571429,44.50420237,0.712321523,2.262108262,43,3,0.516920387,609,931,0
E2F5,51,51,4,324.6666667,2.642857143,20.24291356,0.763137255,2.357549858,43,3,0.538960057,776,380,0
EGF,128,128,3,399.3333333,3.064285714,1696.86607,0.335137795,1.937321937,43,3,0.574151735,3871,2012,1
EGFR,160,160,3,419.5,3.145714286,2702.232487,0.279795597,1.856125356,43,3,0.563801616,82,3242,1
ELAVL1,79,79,3,373.5,2.982857143,1513.491985,0.446608244,2.018518519,43,4,0.555618388,2833,125,0
ENO1,18,18,3,327.6666667,2.764285714,70.61001036,0.470588235,2.236467236,15,1,0.456635606,0,12,0
ENSG00000196689,34,34,3,339,2.815714286,183.8802689,0.379679144,2.185185185,28,1,0.404373851,5970,72,0
EP300,126,126,3,398.8333333,3.065714286,2023.291027,0.332444444,1.935897436,43,3,0.57453713,4100,2415,0
ERBB2,107,107,3,388.6666667,3.032857143,553.5187796,0.415623347,1.968660969,43,3,0.567063034,0,1494,1
ESR1,104,104,3,385.5,3.014285714,859.9959166,0.430731889,1.987179487,43,3,0.576234668,816,2195,1
FGF12,33,33,3,346.3333333,2.881428571,271.0498412,0.386363636,2.11965812,29,1,0.410488347,0,27,0
FGF13,49,49,3,352.3333333,2.887142857,164.4543569,0.56462585,2.113960114,34,3,0.520533453,2540,129,0
FGF23,27,27,3,320.3333333,2.675714286,89.18897383,0.498575499,2.324786325,24,3,0.398885812,0,23,1
FKBP1A,59,59,3,355.1666667,2.882857143,970.7359641,0.284628872,2.118233618,32,1,0.499775938,0,81,1
FKBP1B,21,21,3,311.8333333,2.62,104.2459012,0.257142857,2.38034188,20,1,0.433502711,0,13,0
FLOT1,14,14,3,309.8333333,2.622857143,13.48235004,0.56043956,2.377492877,14,3,0.463179977,1297,12,0
FOXH1,22,22,4,297.8333333,2.495714286,29.58846562,0.54978355,2.504273504,21,3,0.424019513,680,17,0
FOXM1,80,81,3,366.3333333,2.915714286,452.8268669,0.541975309,2.085470085,43,3,0.557338453,67,897,0
FOXO1,81,81,3,375.8333333,2.997142857,454.6060043,0.492901235,2.004273504,43,3,0.564091744,130,628,0
FOXO3,91,92,3,386.5,3.057142857,831.6662821,0.434543717,1.944444444,43,3,0.551644814,4431,1027,0
FURIN,23,25,3,318.5,2.665714286,131.0603402,0.483333333,2.334757835,21,3,0.367082436,9556,32,1
FXYD2,14,14,3,293.1666667,2.48,6.694892161,0.747252747,2.51994302,14,1,0.463179977,429,5,1
FXYD7,5,5,4,239.0833333,1.975714286,0,1,3.022792023,5,1,0.136066147,721,1,0
FYN,87,87,3,380,3.015714286,1147.596105,0.32183908,1.985754986,34,3,0.56292776,2418,565,1
FZR1,67,67,4,335.5833333,2.691428571,115.3912668,0.569425599,2.309116809,43,3,0.513898752,1040,473,0
GADD45GIP1,85,85,4,342.5833333,2.7,1606.471224,0.849019608,2.300569801,78,5,0.567233054,484,5,0
GALNT3,5,9,3,293,2.492857143,27.5719433,0.305555556,2.507122507,9,1,0.272132295,92,5,0
GALNT6,4,6,3,294.8333333,2.517142857,10.78266329,0.4,2.482905983,6,1,0.197510328,996,3,0
GAPDH,214,214,3,456.1666667,3.305714286,10398.3789,0.20758194,1.696581197,43,3,0.555003234,2530,5234,1
GATA4,77,77,3,366.5,2.928571429,768.6547012,0.353725222,2.072649573,32,3,0.550224705,2027,498,0
GATA5,36,36,3,341.5,2.831428571,219.6869639,0.382539683,2.16951567,29,3,0.415392612,2237,77,0
GATA6,48,48,3,353.6666667,2.901428571,430.5449631,0.336879433,2.0997151,32,3,0.507627023,6902,150,0
GJA1,103,103,3,389.3333333,3.05,1705.061113,0.281743765,1.951566952,35,3,0.569945239,3274,579,1
GJA3,19,19,3,316.1666667,2.662857143,32.62396992,0.538011696,2.337606838,16,2,0.461128576,155,15,0
GJA5,48,48,3,337.8333333,2.765714286,301.8029487,0.363475177,2.235042735,32,2,0.507627023,35673,177,0
GJC1,16,16,3,296.3333333,2.501428571,8.958638152,0.683333333,2.498575499,15,2,0.487629121,641,13,0
GJC3,16,16,3,298,2.515714286,11.08671899,0.691666667,2.484330484,15,2,0.487629121,347,13,0
GJD3,15,15,3,293.8333333,2.482857143,4.294101106,0.761904762,2.517094017,15,2,0.445360252,970,11,0
GLE1,57,58,4,320.4166667,2.587142857,179.929175,0.701149425,2.413105413,43,4,0.494344104,1333,49,0
GNB1,55,56,3,343.3333333,2.79,539.8133295,0.264935065,2.210826211,32,1,0.519766556,745,75,0
GNB2,39,39,3,329,2.715714286,268.5262554,0.282051282,2.284900285,29,1,0.455923997,970,27,0
GPD1,14,14,3,308,2.607142857,66.78828999,0.494505495,2.393162393,12,1,0.463179977,285,5,1
GPD1L,44,44,3,336,2.761428571,411.0259871,0.510570825,2.239316239,29,1,0.496984807,329,278,0
GPD2,6,9,4,298.4166667,2.537142857,21.94509061,0.472222222,2.462962963,9,1,0.351225025,829,3,0
GPI,11,11,4,294.75,2.5,45.48293042,0.654545455,2.5,11,1,0.419374531,0,4,1
GPR161,8,8,4,258.5833333,2.151428571,1.100860655,0.857142857,2.847578348,8,1,0.248273124,972,2,0
GRAP2,23,23,3,301,2.521428571,2.278599559,0.885375494,2.478632479,23,3,0.393682612,2816,42,0
GRB2,66,66,3,361.3333333,2.915714286,287.4501076,0.477389277,2.085470085,34,3,0.505010846,494,473,1
GRIA1,48,48,3,343.8333333,2.817142857,252.5067549,0.404255319,2.183760684,32,1,0.507627023,648,139,1
GRIA3,26,27,4,303.9166667,2.534285714,51.15164333,0.54985755,2.465811966,23,1,0.38148475,93195,16,1
GRIA4,26,26,4,307.4166667,2.567142857,36.59576755,0.596923077,2.433048433,23,1,0.38148475,936,15,1
GRIK1,9,9,4,261,2.201428571,0,1,2.797720798,9,1,0.305911818,3285,1,1
GRIK2,30,30,3,315.6666667,2.627142857,104.2076327,0.473563218,2.373219373,24,1,0.419867845,0,43,1
GRIK3,11,12,4,268.75,2.262857143,13.18077418,0.590909091,2.736467236,11,1,0.419374531,557,4,1
GRIK4,29,29,4,287.5833333,2.387142857,91.86392851,0.384236453,2.612535613,22,1,0.415425531,16993,18,1
GRIK5,24,24,3,294.1666667,2.46,59.61936392,0.532608696,2.53988604,22,1,0.371628053,251,16,1
GRIN1,56,56,3,347.5,2.825714286,667.7629222,0.308441558,2.175213675,32,1,0.506766725,2402,139,1
GRIN2A,47,47,3,343.8333333,2.82,208.6636342,0.41813136,2.180911681,32,1,0.495147913,0,143,1
GRIN2B,62,62,3,355,2.872857143,710.0772737,0.330512956,2.128205128,32,1,0.516920387,87,235,1
HAND1,10,10,4,261.6666667,2.175714286,0.55761123,0.888888889,2.823361823,10,2,0.363453555,29,8,0
HAND2,34,34,3,327.1666667,2.714285714,117.3733797,0.529411765,2.286324786,26,2,0.404373851,2961,117,0
HCK,34,34,3,323,2.678571429,52.80427656,0.614973262,2.321937322,29,3,0.404373851,6621,75,1
HCN3,23,24,3,308.1666667,2.58,96.34259933,0.460144928,2.42022792,20,2,0.35112233,0,20,0
HCN4,84,84,3,375.3333333,2.984285714,1283.76058,0.31956397,2.017094017,32,1,0.577943523,71000,825,0
HES1,21,22,3,308.8333333,2.591428571,33.12827534,0.554112554,2.408831909,19,3,0.402538232,0,21,0
HES5,21,21,4,305.6666667,2.565714286,55.56793437,0.419047619,2.434472934,17,3,0.433502711,0,19,0
HEY1,39,39,4,328.0833333,2.707142857,152.22122,0.429149798,2.293447293,27,3,0.455923997,0,78,0
HEY2,37,37,3,336.1666667,2.782857143,320.3741223,0.375375375,2.217948718,26,3,0.428078211,0,64,0
HMMR,37,37,3,329.6666667,2.727142857,171.3906169,0.481981982,2.273504274,32,3,0.428078211,4264,38,1
HNRNPA0,46,46,4,297.5833333,2.421428571,1.747991003,0.964251208,2.578347578,43,4,0.483161437,497,7,0
HNRNPA1,83,83,3,368.8333333,2.931428571,2446.441754,0.431677931,2.06980057,43,4,0.570276902,10728,141,0
